book,chapter,book_chapt,character,n
Water,The Boy in the Iceberg,1,Aang,419
Water,The Boy in the Iceberg,1,Iroh,140
Water,The Boy in the Iceberg,1,Katara,690
Water,The Boy in the Iceberg,1,Sokka,371
Water,The Boy in the Iceberg,1,Zuko,157
Water,The Avatar Returns,2,Aang,292
Water,The Avatar Returns,2,Iroh,28
Water,The Avatar Returns,2,Katara,390
Water,The Avatar Returns,2,Sokka,245
Water,The Avatar Returns,2,Zuko,118
Water,The Southern Air Temple,3,Aang,458
Water,The Southern Air Temple,3,Iroh,136
Water,The Southern Air Temple,3,Katara,334
Water,The Southern Air Temple,3,Sokka,260
Water,The Southern Air Temple,3,Zuko,238
Water,The Warriors of Kyoshi,4,Aang,433
Water,The Warriors of Kyoshi,4,Iroh,55
Water,The Warriors of Kyoshi,4,Katara,342
Water,The Warriors of Kyoshi,4,Sokka,435
Water,The Warriors of Kyoshi,4,Zuko,126
Water,The King of Omashu,5,Aang,527
Water,The King of Omashu,5,Katara,179
Water,The King of Omashu,5,Sokka,107
Water,Imprisoned,6,Aang,157
Water,Imprisoned,6,Katara,673
Water,Imprisoned,6,Sokka,415
Water,"Winter Solstice, Part 1: The Spirit World",7,Aang,587
Water,"Winter Solstice, Part 1: The Spirit World",7,Iroh,176
Water,"Winter Solstice, Part 1: The Spirit World",7,Katara,258
Water,"Winter Solstice, Part 1: The Spirit World",7,Sokka,175
Water,"Winter Solstice, Part 1: The Spirit World",7,Zuko,122
Water,"Winter Solstice, Part 2: Avatar Roku",8,Aang,388
Water,"Winter Solstice, Part 2: Avatar Roku",8,Iroh,123
Water,"Winter Solstice, Part 2: Avatar Roku",8,Katara,169
Water,"Winter Solstice, Part 2: Avatar Roku",8,Sokka,168
Water,"Winter Solstice, Part 2: Avatar Roku",8,Zuko,136
Water,The Waterbending Scroll,9,Aang,350
Water,The Waterbending Scroll,9,Iroh,220
Water,The Waterbending Scroll,9,Katara,591
Water,The Waterbending Scroll,9,Sokka,429
Water,The Waterbending Scroll,9,Zuko,225
Water,Jet,10,Aang,242
Water,Jet,10,Katara,421
Water,Jet,10,Sokka,525
Water,The Great Divide,11,Aang,769
Water,The Great Divide,11,Katara,245
Water,The Great Divide,11,Sokka,249
Water,The Storm,12,Aang,430
Water,The Storm,12,Iroh,351
Water,The Storm,12,Katara,291
Water,The Storm,12,Sokka,143
Water,The Storm,12,Zuko,91
Water,The Blue Spirit,13,Aang,340
Water,The Blue Spirit,13,Iroh,79
Water,The Blue Spirit,13,Katara,115
Water,The Blue Spirit,13,Sokka,56
Water,The Blue Spirit,13,Zuko,64
Water,The Fortuneteller,14,Aang,593
Water,The Fortuneteller,14,Katara,397
Water,The Fortuneteller,14,Sokka,628
Water,Bato of the Water Tribe,15,Aang,262
Water,Bato of the Water Tribe,15,Iroh,61
Water,Bato of the Water Tribe,15,Katara,206
Water,Bato of the Water Tribe,15,Sokka,421
Water,Bato of the Water Tribe,15,Zuko,138
Water,The Deserter,16,Aang,533
Water,The Deserter,16,Katara,177
Water,The Deserter,16,Sokka,289
Water,The Northern Air Temple,17,Aang,413
Water,The Northern Air Temple,17,Katara,202
Water,The Northern Air Temple,17,Sokka,324
Water,The Waterbending Master,18,Aang,155
Water,The Waterbending Master,18,Iroh,179
Water,The Waterbending Master,18,Katara,382
Water,The Waterbending Master,18,Sokka,314
Water,The Waterbending Master,18,Zuko,40
Water,"The Siege of the North, Part 1",19,Aang,153
Water,"The Siege of the North, Part 1",19,Iroh,135
Water,"The Siege of the North, Part 1",19,Katara,124
Water,"The Siege of the North, Part 1",19,Sokka,267
Water,"The Siege of the North, Part 1",19,Zuko,102
Water,"The Siege of the North, Part 2",20,Aang,253
Water,"The Siege of the North, Part 2",20,Iroh,119
Water,"The Siege of the North, Part 2",20,Katara,69
Water,"The Siege of the North, Part 2",20,Sokka,118
Water,"The Siege of the North, Part 2",20,Zuko,115
Earth,The Avatar State,22,Aang,322
Earth,The Avatar State,22,Azula,371
Earth,The Avatar State,22,Iroh,157
Earth,The Avatar State,22,Katara,213
Earth,The Avatar State,22,Sokka,108
Earth,The Avatar State,22,Zuko,139
Earth,The Cave of Two Lovers,23,Aang,256
Earth,The Cave of Two Lovers,23,Iroh,167
Earth,The Cave of Two Lovers,23,Katara,391
Earth,The Cave of Two Lovers,23,Sokka,309
Earth,The Cave of Two Lovers,23,Zuko,115
Earth,Return to Omashu,24,Aang,313
Earth,Return to Omashu,24,Azula,354
Earth,Return to Omashu,24,Katara,106
Earth,Return to Omashu,24,Sokka,128
Earth,The Swamp,25,Aang,276
Earth,The Swamp,25,Iroh,71
Earth,The Swamp,25,Katara,123
Earth,The Swamp,25,Sokka,490
Earth,The Swamp,25,Zuko,17
Earth,Avatar Day,26,Aang,236
Earth,Avatar Day,26,Iroh,136
Earth,Avatar Day,26,Katara,280
Earth,Avatar Day,26,Sokka,427
Earth,Avatar Day,26,Zuko,60
Earth,The Blind Bandit,27,Aang,334
Earth,The Blind Bandit,27,Katara,222
Earth,The Blind Bandit,27,Sokka,186
Earth,The Blind Bandit,27,Toph,379
Earth,Zuko Alone,28,Iroh,34
Earth,Zuko Alone,28,Zuko,178
Earth,The Chase,29,Aang,304
Earth,The Chase,29,Azula,120
Earth,The Chase,29,Iroh,149
Earth,The Chase,29,Katara,431
Earth,The Chase,29,Sokka,299
Earth,The Chase,29,Toph,415
Earth,The Chase,29,Zuko,17
Earth,Bitter Work,30,Aang,440
Earth,Bitter Work,30,Iroh,638
